no , text , class
2016000062A , 表示 el 球 当選 演出 始動 当落 抽選 動体 有利 途切れる 契機 行う ユニット 損じる かかる かたち 大当り 遊技 図柄 , A63F
2016000063A , 図る 期待 配信 単位 低い 求める 期間 ダウンロード 軽減 ピーク コンテンツ 特典 プレイヤ 負荷 プログラム 集計 付与 サーバ ゲーム , A63F
2016000071A , 短い 今回 その後 相対 変動 示唆 特別 損なう 契機 至る 利益 判定 計測 興趣 所定 入賞 前回 遊技 開放 図柄 , A63F
2016000072A , 楽しむ 移動 全開 閉 一対 配置 打込む 後 裏 重なる 基板 上中 取付ける 装飾 領域 正面 パチンコ 可動 遊技 後方 , A63F
2016000076A , メダル 正規 不正 確認 過誤 ram エラー マシン 認識 画像 形状 判定 一致 履歴 投入 模様 成立 行為 色彩 スロット , A63F
2016000080A , 開口 枠 レバー 折り曲げる 固定 配置 前方 リンク クランプ 取付 コ 着脱 上下 平行 字 斜め 方向 遊技 向く ベース , A63F
2016000082A , 隣 報知 複数 不正 管理 周囲 前方 異常 発見 画面 滞在 前側 囲む 行為 判定 警告 遊技 易い , A63F
2016000091A , 基本 押し 浮遊 ジェスチャー 上空 搭載 コントローラ 投影 映像 透 裏面 ボタン 新しい ユニット 領域 マシン 操作 スロット 既存 多彩 , A63F
2016000093A , 表示 カード 片側 障害 弱視 背景 触覚 材料 スート 識別 構成 ランク 透 種類 視覚 記号 突 , A63F
2016000097A , 市場 機能 状態 電動 不利 確率 変動 抽選 弾 終了 普通 不人気 図柄 延長 出回る 転落 大当り 遊技 開放 移行 , A63F
2016000098A , 文字 属する アツ 付与 個別 激 アイコン 示唆 変動 カテゴリ next 除外 ン 内容 アイコ x 整理 演出 マーカ 記憶 , A63F
2016000099A , 表示 もつ 代表 封入 回 複数 遊技 更新 生成 パチンコ 含む 胴 種類 マシン 進行 操作 スロット 情報 アクセス 弾 , A63F
2016000100A , 表示 もつ 代表 封入 回 複数 遊技 型 少ない 生成 含む 胴 種類 マシン パチンコ 操作 スロット 情報 アクセス 弾 , A63F
2016000106A , 創作 状態 前面 閉 開 接触 面部 自由 露出 ゲーム 触れる 着脱 本体 入力 外 所定 操作 遊技 取り付ける 領域 , A63F
2016000119A , 期待 処理 価値 変更 及ぼす 実行 応じる 抽選 結果 射撃 画面 s 過程 候補 確定 ユーザ モニタ プレイ ゲーム ステップ , A63F
2016000121A , 否 特例 稼働 満たす 制御 ステーション 判別 解除 供する 発生 ユニット 条件 所定 モニタ プレイ ゲーム 許可 , A63F
2016000129A , 遁 南北 読み解く 方位 盤 奇 天 区分 東西 吉凶 漢字 極座標 甲 表示 チャート 多用 目盛り 塗りつぶす インジケーター 応 , A63F
2016000131A , 開口 球 通路 持つ 左 特徴 前 設ける 後ろ 減速 下流 ある 前側 右 速度 視認 遊技 前記 通過 , A63F
2016000132A , 開口 球 通路 持つ 前 流下 後ろ 減速 下流 排出 視認 前側 構成 頻度 速度 遊技 設ける 通過 , A63F
2016000133A , 確率 当選 達す 回数 状態 特別 抽選 確 通常 与える 方 当たり 遊技 移行 , A63F
2016000135A , ダミー 確 演出 期間 状態 想起 疑似 有利 時短 該 報知 焦燥 中間 意識 タイミング 興趣 態様 遊技 集中 規定 , A63F
2016000136A , 系列 逆 焦燥 想起 状態 期間 有利 時短 該 報知 t 中間 意識 タイミング 興趣 変 確 遊技 集中 規定 , A63F
2016000140A , 表示 至る 演出 一つ 継続 遊技 示唆 時又 新た 更新 最中 入れ替える 割り付ける 個数 実行 後 趣向 画像 認識 断続 , A63F
2016000141A , 規定 ラウンド 通過 喚起 その後 種類 関係 複数 変動 意欲 d 利益 多様 ゲート 図柄 態様 テーブル 遊技 開放 パターン , A63F
2016000142A , 表示 バトル rush 状態 art メイン 否 サブ スタート 味方 cpu 継続 敵 単調 レバー 対応 期待 キャラクタ 抱く コマンド , A63F
2016000143A , 行う 状態 演出 メイン ステップ bonus 決定 サブ ram 基づく ポイント 加算 処理 減算 期待 格納 遊技 cpu 抱く コマンド , A63F
2016000144A , バトル 行う サブ art 値 否 回数 カウンタ 状態 天井 負け 抽選 連続 当選 継続 ram 処理 遊技 cpu 加算 , A63F
2016000145A , 以降 確定 獲得 art rom パート bonus 特別 状態 後半 抽選 ステップ サブ ポイント 更 決定 テーブル 遊技 cpu 移行 , A63F
2016000146A , 行う 獲得 art パート 否 bonus 残り 状態 後半 抽選 cpu サブ 以内 ポイント 更 最初 遊技 ゲーム 特別 移行 , A63F
2016000147A , 状態 演出 値 失敗 bonus サブ 削ぐ 基づく 意欲 ポイント 獲得 通常 決定 準備 当選 付与 コマンド 遊技 cpu rom , A63F
2016000148A , ram レア 値 遊技 処理 カウンタ 設ける サブ テーブル 抽選 ゲーム 変更 メイン 初期 決定 察知 コマンド rom cpu 設定 , A63F
2016000150A , ストップ 無駄 感じる 正解 行く 損失 通常 与える 抽選 回数 特定 報知 続ける 一致 受ける 操作 態様 遊技 打順 内部 , A63F
